region	虻田 (1355)	厚真 (1419)	平取 (1512)	千歳 (1411)	江部乙 (1325)	萩野 (1329)	日高 (1514)	穂別 (1446)	幌別 (1420)	幌満 (1398)	三石 (1392)	鵡川 (1478)	室蘭 (1413)	新冠 (1430)	貫気別 (1498)	荻伏 (1401)	長万部 (1403)	礼文 (1399)	様似 (1403)	沙流 (1604)	白老 (1329)	静内 (1420)	高江 (1430)	高島 (1124)	豊浦 (1284)	浦河 (1400)	有珠 (1349)	空念 (105)	八雲 (1499)	旭川 (1331)	近文 (1311)	名寄 (1301)	宗谷 (1284)	天塩 (1250)	網走 (1347)	阿寒 (1266)	足寄 (1119)	美幌 (1372)	広尾 (1114)	白人 (1131)	布伏内 (1462)	伏古 (1140)	春採 (1462)	北見 (1334)	釧路 (1478)	屈斜路 (1267)	芽室 (1137)	藻琴 (1347)	根室 (1415)	虹別 (1504)	帯広 (1140)	音更 (1134)	斜里 (1327)	白糠 (1464)	十勝 (1123)	塘路 (1473)	智来 (1480)	真岡 (1393)	ライチシカ (1595)	白主 (1280)	多蘭泊 (1257)	鵜城 (1568)	相浜 (1446)	内路 (1423)	新問 (1427)	落帆 (1246)	白浜 (1446)	白浦 (1474)	多来加 (1442)	富内 (1241)	弥満別 (1224)	千島 (1503)	幌筵 (1508)	占守 (1503)	択捉 (1190)	南千島 (1190)
虻田 (1355)	0.000000	0.187402	0.183969	0.180411	0.283300	0.063569	0.188165	0.187753	0.033234	0.236845	0.210378	0.184561	0.036184	0.204660	0.196907	0.234066	0.152694	0.145523	0.236169	0.183294	0.064432	0.205994	0.204660	0.575006	0.032380	0.234392	0.015393	0.267568	0.161843	0.289682	0.591033	0.565043	0.376517	0.375067	0.611693	0.621935	0.578283	0.606647	0.284665	0.564686	0.629767	0.562634	0.629562	0.606463	0.328210	0.624024	0.562603	0.610931	0.369214	0.639169	0.560136	0.562263	0.616926	0.316561	0.580265	0.331656	0.548755	0.542673	0.557021	0.384710	0.473205	0.559882	0.542124	0.549294	0.847540	0.487734	0.542058	0.549555	0.550348	0.487734	0.480063	0.861981	0.863741	0.861981	0.686778	0.681613
厚真 (1419)	0.187402	0.000000	0.035677	0.019514	0.265386	0.148838	0.044092	0.019834	0.176929	0.116106	0.078003	0.026909	0.183057	0.067134	0.051414	0.113894	0.238729	0.235275	0.115428	0.039731	0.147666	0.070199	0.067134	0.546358	0.206660	0.114948	0.188863	0.272973	0.228790	0.279209	0.575827	0.557004	0.367983	0.363119	0.596408	0.608808	0.553413	0.591929	0.246391	0.532922	0.622660	0.525503	0.623189	0.591344	0.323189	0.610196	0.523378	0.594796	0.363659	0.631631	0.525137	0.530208	0.600461	0.303823	0.552906	0.327343	0.551145	0.545605	0.556145	0.376303	0.467963	0.559018	0.547544	0.548887	0.846416	0.482506	0.547489	0.551096	0.550511	0.483183	0.470234	0.864684	0.866425	0.864684	0.682686	0.675009
平取 (1512)	0.183969	0.035677	0.000000	0.045699	0.260937	0.144607	0.016866	0.026422	0.170306	0.100545	0.059983	0.016581	0.174474	0.043692	0.022025	0.096288	0.233917	0.230964	0.099867	0.008108	0.143569	0.046867	0.043692	0.537690	0.200508	0.098327	0.183304	0.267568	0.220495	0.271379	0.569350	0.546148	0.361679	0.357287	0.587588	0.600527	0.544737	0.582250	0.232221	0.517486	0.612509	0.510116	0.610806	0.581722	0.309453	0.602091	0.508570	0.585883	0.350785	0.623409	0.509758	0.515846	0.592770	0.290513	0.542572	0.314625	0.547593	0.542846	0.553185	0.369794	0.463208	0.556707	0.543970	0.545152	0.843361	0.478236	0.543920	0.547504	0.547393	0.478236	0.466626	0.862612	0.865026	0.862612	0.676171	0.668227
千歳 (1411)	0.180411	0.019514	0.045699	0.000000	0.264460	0.143521	0.053514	0.033203	0.173428	0.123491	0.085451	0.036139	0.179887	0.074475	0.060910	0.121079	0.237199	0.233295	0.122136	0.049753	0.142478	0.076746	0.074475	0.552294	0.200542	0.122599	0.183011	0.267568	0.228064	0.279378	0.575319	0.557022	0.369191	0.360585	0.597987	0.611731	0.558864	0.593697	0.254038	0.538670	0.624628	0.531338	0.625854	0.593122	0.325178	0.612274	0.529393	0.596448	0.363549	0.633037	0.530950	0.535828	0.603508	0.306049	0.557552	0.329074	0.550095	0.544472	0.556505	0.376982	0.467481	0.559397	0.545851	0.550007	0.847535	0.481520	0.545792	0.550086	0.551680	0.481520	0.471322	0.866089	0.867832	0.866089	0.683119	0.675014
江部乙 (1325)	0.283300	0.265386	0.260937	0.264460	0.000000	0.273870	0.265919	0.260902	0.281057	0.295115	0.285644	0.263275	0.284676	0.279868	0.267749	0.295418	0.294070	0.292759	0.295115	0.263643	0.273399	0.281698	0.279868	0.581231	0.299793	0.295897	0.286868	0.354054	0.286074	0.027819	0.360251	0.468364	0.324883	0.316351	0.585431	0.597747	0.578258	0.581181	0.301441	0.573716	0.618442	0.569746	0.621179	0.581282	0.319826	0.600818	0.569052	0.586869	0.354967	0.629895	0.569301	0.569833	0.593005	0.322524	0.588406	0.322958	0.545189	0.538593	0.545571	0.336783	0.447917	0.549324	0.541132	0.544076	0.841503	0.461835	0.541060	0.545121	0.543900	0.461835	0.448065	0.860634	0.862351	0.860634	0.665458	0.660922
萩野 (1329)	0.063569	0.148838	0.144607	0.143521	0.273870	0.000000	0.147747	0.149637	0.042004	0.199718	0.173339	0.142900	0.049000	0.165977	0.158438	0.198310	0.205414	0.200492	0.199041	0.143932	0.005719	0.168833	0.165977	0.561465	0.084637	0.200197	0.061716	0.278378	0.198686	0.283173	0.581146	0.561655	0.371493	0.365636	0.598411	0.610423	0.568039	0.594416	0.266818	0.551899	0.618396	0.550401	0.620221	0.593488	0.318194	0.610736	0.549466	0.597550	0.360303	0.627951	0.547932	0.550274	0.602188	0.304861	0.566681	0.322005	0.548704	0.544068	0.556221	0.377526	0.465861	0.558378	0.542645	0.547660	0.845904	0.482052	0.542587	0.550093	0.549298	0.482052	0.470857	0.860518	0.862273	0.860518	0.677161	0.670891
日高 (1514)	0.188165	0.044092	0.016866	0.053514	0.265919	0.147747	0.000000	0.037893	0.173658	0.093856	0.055333	0.026698	0.177591	0.036724	0.032687	0.089291	0.238216	0.235426	0.093179	0.019569	0.146772	0.040084	0.036724	0.537815	0.203632	0.091359	0.186984	0.272973	0.223766	0.276064	0.572006	0.551655	0.363262	0.357774	0.589042	0.600520	0.545008	0.583750	0.231236	0.519483	0.611734	0.513692	0.611047	0.580633	0.309018	0.602053	0.511636	0.587315	0.351659	0.622493	0.512633	0.518193	0.594051	0.290139	0.542306	0.314268	0.550714	0.546743	0.555553	0.371241	0.467125	0.559054	0.546455	0.548155	0.846375	0.481467	0.546407	0.550624	0.549696	0.481467	0.469933	0.864031	0.866447	0.864031	0.675032	0.667132
穂別 (1446)	0.187753	0.019834	0.026422	0.033203	0.260902	0.149637	0.037893	0.000000	0.175773	0.110765	0.071351	0.028174	0.180831	0.061715	0.038938	0.107109	0.239867	0.236044	0.110088	0.030476	0.148596	0.063991	0.061715	0.538273	0.205638	0.108987	0.188029	0.272973	0.229677	0.274003	0.570621	0.551733	0.364843	0.359984	0.590470	0.605072	0.545596	0.585091	0.239092	0.523243	0.616626	0.515576	0.617474	0.584379	0.316798	0.606647	0.513203	0.588814	0.357365	0.628292	0.515246	0.520337	0.595956	0.297153	0.545120	0.321790	0.548909	0.543311	0.555309	0.373202	0.465666	0.558191	0.545221	0.547347	0.844865	0.479383	0.545167	0.548823	0.548958	0.480060	0.468324	0.863180	0.865590	0.863180	0.679914	0.671925
幌別 (1420)	0.033234	0.176929	0.170306	0.173428	0.281057	0.042004	0.173658	0.175773	0.000000	0.224564	0.198124	0.170555	0.011883	0.191259	0.183923	0.222813	0.170045	0.165551	0.223888	0.169630	0.043319	0.194001	0.191259	0.567268	0.051019	0.223837	0.027241	0.272973	0.163993	0.285941	0.587968	0.560979	0.374643	0.372471	0.604821	0.615683	0.570379	0.600287	0.273494	0.558479	0.623766	0.556472	0.623966	0.600160	0.320587	0.617911	0.556367	0.603969	0.362201	0.633574	0.553980	0.556339	0.610485	0.310140	0.572917	0.325671	0.549878	0.544023	0.556618	0.382534	0.472585	0.560775	0.543233	0.548715	0.846975	0.486152	0.543177	0.550614	0.549666	0.486152	0.477134	0.860016	0.861778	0.860016	0.679877	0.674514
幌満 (1398)	0.236845	0.116106	0.100545	0.123491	0.295115	0.199718	0.093856	0.110765	0.224564	0.000000	0.066361	0.105765	0.227918	0.081204	0.102726	0.016396	0.280058	0.278263	0.004735	0.102576	0.199136	0.080129	0.081204	0.542796	0.247047	0.013788	0.235508	0.300000	0.272594	0.302286	0.595514	0.584012	0.382284	0.377974	0.295170	0.300930	0.551052	0.289046	0.158460	0.523675	0.311846	0.522943	0.312616	0.289809	0.309233	0.303280	0.523643	0.293211	0.351449	0.322196	0.520998	0.526651	0.298576	0.287623	0.544695	0.313379	0.560049	0.558434	0.570067	0.389043	0.478807	0.571471	0.557798	0.561058	0.857938	0.492116	0.557762	0.559868	0.560419	0.492116	0.480620	0.872554	0.874290	0.872554	0.680026	0.671482
