region	gold_macro_group	gold_sub_group	predicted_macro_group	predicted_sub_group	lat	lon	non_empty_cells	lexical_features	regularity_features	score	lexical_score	regularity_score	geography_score	match_kind
虻田	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.750000	140.810000	14	1355	2	0.634796	0.593780	0.642857	0.736346	sub
厚真	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.720000	141.880000	7	1419	1	0.839706	0.703061	0.964286	0.917432	sub
平取	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.590000	142.140000	205	1512	1	0.829738	0.686862	0.964286	0.899571	sub
千歳	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.820000	141.650000	34	1411	1	0.833608	0.704465	0.964286	0.872561	sub
江部乙	Hokkaido	DonanDoo	Hokkaido	DonanDoo	43.590000	141.970000	6	1325	1	0.669004	0.406065	0.964286	0.670404	sub
萩野	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.540000	141.300000	3	1329	2	0.663221	0.619289	0.642857	0.849322	sub
日高	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.480000	142.160000	19	1514	1	0.827844	0.684162	0.964286	0.895044	sub
穂別	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.770000	142.100000	32	1446	1	0.831332	0.699294	0.964286	0.872901	sub
幌別	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.420000	141.110000	801	1420	2	0.636485	0.575755	0.642857	0.801686	sub
幌満	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.130000	142.920000	5	1398	2	0.631245	0.691396	0.535714	0.705541	sub
三石	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.260000	142.580000	0	1392	1	0.822109	0.710694	0.964286	0.777215	sub
鵡川	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.600000	141.930000	7	1478	1	0.841051	0.694109	0.964286	0.953255	sub
室蘭	Hokkaido	DonanDoo	Hokkaido	DonanDoo	42.320000	140.980000	5	1413	2	0.632125	0.577368	0.642857	0.767775	sub
