region	虻田 (1355)	厚真 (1419)	平取 (1512)	千歳 (1411)	江部乙 (1325)	萩野 (1329)	日高 (1514)	穂別 (1446)	幌別 (1420)	幌満 (1398)	三石 (1392)	鵡川 (1478)	室蘭 (1413)	新冠 (1430)	貫気別 (1498)	荻伏 (1401)	長万部 (1403)	礼文 (1399)	様似 (1403)	沙流 (1604)	白老 (1329)	静内 (1420)	高江 (1430)	高島 (1124)	豊浦 (1284)	浦河 (1400)	有珠 (1349)	空念 (105)	八雲 (1499)	旭川 (1331)	近文 (1311)	名寄 (1301)	宗谷 (1284)	天塩 (1250)	網走 (1347)	阿寒 (1266)	足寄 (1119)	美幌 (1372)	広尾 (1114)	白人 (1131)	布伏内 (1462)	伏古 (1140)	春採 (1462)	北見 (1334)	釧路 (1478)	屈斜路 (1267)	芽室 (1137)	藻琴 (1347)	根室 (1415)	虹別 (1504)	帯広 (1140)	音更 (1134)	斜里 (1327)	白糠 (1464)	十勝 (1123)	塘路 (1473)	智来 (1480)	真岡 (1393)	ライチシカ (1595)	白主 (1280)	多蘭泊 (1257)	鵜城 (1568)	相浜 (1446)	内路 (1423)	新問 (1427)	落帆 (1246)	白浜 (1446)	白浦 (1474)	多来加 (1442)	富内 (1241)	弥満別 (1224)	千島 (1503)	幌筵 (1508)	占守 (1503)	択捉 (1190)	南千島 (1190)
虻田 (1355)	1.000000	0.812598	0.816031	0.819589	0.716700	0.936431	0.811835	0.812247	0.966766	0.763155	0.789622	0.815439	0.963816	0.795340	0.803093	0.765934	0.847306	0.854477	0.763831	0.816706	0.935568	0.794006	0.795340	0.424994	0.967620	0.765608	0.984607	0.732432	0.838157	0.710318	0.408967	0.434957	0.623483	0.624933	0.388307	0.378065	0.421717	0.393353	0.715335	0.435314	0.370233	0.437366	0.370438	0.393537	0.671790	0.375976	0.437397	0.389069	0.630786	0.360831	0.439864	0.437737	0.383074	0.683439	0.419735	0.668344	0.451245	0.457327	0.442979	0.615290	0.526795	0.440118	0.457876	0.450706	0.152460	0.512266	0.457942	0.450445	0.449652	0.512266	0.519937	0.138019	0.136259	0.138019	0.313222	0.318387
厚真 (1419)	0.812598	1.000000	0.964323	0.980486	0.734614	0.851162	0.955908	0.980166	0.823071	0.883894	0.921997	0.973091	0.816943	0.932866	0.948586	0.886106	0.761271	0.764725	0.884572	0.960269	0.852334	0.929801	0.932866	0.453642	0.793340	0.885052	0.811137	0.727027	0.771210	0.720791	0.424173	0.442996	0.632017	0.636881	0.403592	0.391192	0.446587	0.408071	0.753609	0.467078	0.377340	0.474497	0.376811	0.408656	0.676811	0.389804	0.476622	0.405204	0.636341	0.368369	0.474863	0.469792	0.399539	0.696177	0.447094	0.672657	0.448855	0.454395	0.443855	0.623697	0.532037	0.440982	0.452456	0.451113	0.153584	0.517494	0.452511	0.448904	0.449489	0.516817	0.529766	0.135316	0.133575	0.135316	0.317314	0.324991
平取 (1512)	0.816031	0.964323	1.000000	0.954301	0.739063	0.855393	0.983134	0.973578	0.829694	0.899455	0.940017	0.983419	0.825526	0.956308	0.977975	0.903712	0.766083	0.769036	0.900133	0.991892	0.856431	0.953133	0.956308	0.462310	0.799492	0.901673	0.816696	0.732432	0.779505	0.728621	0.430650	0.453852	0.638321	0.642713	0.412412	0.399473	0.455263	0.417750	0.767779	0.482514	0.387491	0.489884	0.389194	0.418278	0.690547	0.397909	0.491430	0.414117	0.649215	0.376591	0.490242	0.484154	0.407230	0.709487	0.457428	0.685375	0.452407	0.457154	0.446815	0.630206	0.536792	0.443293	0.456030	0.454848	0.156639	0.521764	0.456080	0.452496	0.452607	0.521764	0.533374	0.137388	0.134974	0.137388	0.323829	0.331773
千歳 (1411)	0.819589	0.980486	0.954301	1.000000	0.735540	0.856479	0.946486	0.966797	0.826572	0.876509	0.914549	0.963861	0.820113	0.925525	0.939090	0.878921	0.762801	0.766705	0.877864	0.950247	0.857522	0.923254	0.925525	0.447706	0.799458	0.877401	0.816989	0.732432	0.771936	0.720622	0.424681	0.442978	0.630809	0.639415	0.402013	0.388269	0.441136	0.406303	0.745962	0.461330	0.375372	0.468662	0.374146	0.406878	0.674822	0.387726	0.470607	0.403552	0.636451	0.366963	0.469050	0.464172	0.396492	0.693951	0.442448	0.670926	0.449905	0.455528	0.443495	0.623018	0.532519	0.440603	0.454149	0.449993	0.152465	0.518480	0.454208	0.449914	0.448320	0.518480	0.528678	0.133911	0.132168	0.133911	0.316881	0.324986
江部乙 (1325)	0.716700	0.734614	0.739063	0.735540	1.000000	0.726130	0.734081	0.739098	0.718943	0.704885	0.714356	0.736725	0.715324	0.720132	0.732251	0.704582	0.705930	0.707241	0.704885	0.736357	0.726601	0.718302	0.720132	0.418769	0.700207	0.704103	0.713132	0.645946	0.713926	0.972181	0.639749	0.531636	0.675117	0.683649	0.414569	0.402253	0.421742	0.418819	0.698559	0.426284	0.381558	0.430254	0.378821	0.418718	0.680174	0.399182	0.430948	0.413131	0.645033	0.370105	0.430699	0.430167	0.406995	0.677476	0.411594	0.677042	0.454811	0.461407	0.454429	0.663217	0.552083	0.450676	0.458868	0.455924	0.158497	0.538165	0.458940	0.454879	0.456100	0.538165	0.551935	0.139366	0.137649	0.139366	0.334542	0.339078
萩野 (1329)	0.936431	0.851162	0.855393	0.856479	0.726130	1.000000	0.852253	0.850363	0.957996	0.800282	0.826661	0.857100	0.951000	0.834023	0.841562	0.801690	0.794586	0.799508	0.800959	0.856068	0.994281	0.831167	0.834023	0.438535	0.915363	0.799803	0.938284	0.721622	0.801314	0.716827	0.418854	0.438345	0.628507	0.634364	0.401589	0.389577	0.431961	0.405584	0.733182	0.448101	0.381604	0.449599	0.379779	0.406512	0.681806	0.389264	0.450534	0.402450	0.639697	0.372049	0.452068	0.449726	0.397812	0.695139	0.433319	0.677995	0.451296	0.455932	0.443779	0.622474	0.534139	0.441622	0.457355	0.452340	0.154096	0.517948	0.457413	0.449907	0.450702	0.517948	0.529143	0.139482	0.137727	0.139482	0.322839	0.329109
日高 (1514)	0.811835	0.955908	0.983134	0.946486	0.734081	0.852253	1.000000	0.962107	0.826342	0.906144	0.944667	0.973302	0.822409	0.963276	0.967313	0.910709	0.761784	0.764574	0.906821	0.980431	0.853228	0.959916	0.963276	0.462185	0.796368	0.908641	0.813016	0.727027	0.776234	0.723936	0.427994	0.448345	0.636738	0.642226	0.410958	0.399480	0.454992	0.416250	0.768764	0.480517	0.388266	0.486308	0.388953	0.419367	0.690982	0.397947	0.488364	0.412685	0.648341	0.377507	0.487367	0.481807	0.405949	0.709861	0.457694	0.685732	0.449286	0.453257	0.444447	0.628759	0.532875	0.440946	0.453545	0.451845	0.153625	0.518533	0.453593	0.449376	0.450304	0.518533	0.530067	0.135969	0.133553	0.135969	0.324968	0.332868
穂別 (1446)	0.812247	0.980166	0.973578	0.966797	0.739098	0.850363	0.962107	1.000000	0.824227	0.889235	0.928649	0.971826	0.819169	0.938285	0.961062	0.892891	0.760133	0.763956	0.889912	0.969524	0.851404	0.936009	0.938285	0.461727	0.794362	0.891013	0.811971	0.727027	0.770323	0.725997	0.429379	0.448267	0.635157	0.640016	0.409530	0.394928	0.454404	0.414909	0.760908	0.476757	0.383374	0.484424	0.382526	0.415621	0.683202	0.393353	0.486797	0.411186	0.642635	0.371708	0.484754	0.479663	0.404044	0.702847	0.454880	0.678210	0.451091	0.456689	0.444691	0.626798	0.534334	0.441809	0.454779	0.452653	0.155135	0.520617	0.454833	0.451177	0.451042	0.519940	0.531676	0.136820	0.134410	0.136820	0.320086	0.328075
幌別 (1420)	0.966766	0.823071	0.829694	0.826572	0.718943	0.957996	0.826342	0.824227	1.000000	0.775436	0.801876	0.829445	0.988117	0.808741	0.816077	0.777187	0.829955	0.834449	0.776112	0.830370	0.956681	0.805999	0.808741	0.432732	0.948981	0.776163	0.972759	0.727027	0.836007	0.714059	0.412032	0.439021	0.625357	0.627529	0.395179	0.384317	0.429621	0.399713	0.726506	0.441521	0.376234	0.443528	0.376034	0.399840	0.679413	0.382089	0.443633	0.396031	0.637799	0.366426	0.446020	0.443661	0.389515	0.689860	0.427083	0.674329	0.450122	0.455977	0.443382	0.617466	0.527415	0.439225	0.456767	0.451285	0.153025	0.513848	0.456823	0.449386	0.450334	0.513848	0.522866	0.139984	0.138222	0.139984	0.320123	0.325486
幌満 (1398)	0.763155	0.883894	0.899455	0.876509	0.704885	0.800282	0.906144	0.889235	0.775436	1.000000	0.933639	0.894235	0.772082	0.918796	0.897274	0.983604	0.719942	0.721737	0.995265	0.897424	0.800864	0.919871	0.918796	0.457204	0.752953	0.986212	0.764492	0.700000	0.727406	0.697714	0.404486	0.415988	0.617716	0.622026	0.704830	0.699070	0.448948	0.710954	0.841540	0.476325	0.688154	0.477057	0.687384	0.710191	0.690767	0.696720	0.476357	0.706789	0.648551	0.677804	0.479002	0.473349	0.701424	0.712377	0.455305	0.686621	0.439951	0.441566	0.429933	0.610957	0.521193	0.428529	0.442202	0.438942	0.142062	0.507884	0.442238	0.440132	0.439581	0.507884	0.519380	0.127446	0.125710	0.127446	0.319974	0.328518
