en	kana	kanji	空念	八雲	長万部	幌別	平取	貫気別	新冠	様似	帯広	釧路	美幌	旭川	名寄	宗谷	落帆	多蘭泊	真岡	白浦	ライチシカ	内路	沙流	千島	占守	幌筵	南千島	弥満別	白浜	新問	多来加	智来	鵜城	根室	千歳	屈斜路	近文	穂別	礼文	足寄	天塩	虻田	白老	富内	春採	十勝	鵡川	有珠	白糠	静内	日高	虹別	荻伏	浦河	斜里	阿寒	伏古	厚真	北見	網走	室蘭	白主	高島	広尾	相浜	芽室	塘路	布伏内	江部乙	萩野	白人	幌満	択捉	音更	高江	三石	藻琴	豊浦
lat				42.25	42.51	42.42	42.59	42.64	42.35	42.13	42.92	42.99	43.83	43.77	44.35	45.52	46.99	47.07	47.19	47.95	48.81	49.27	42.59	50.73	50.73	50.55	44.25	46.42	47.56	49.11	49.54	47.98	49.08	43.32	42.82	43.56	43.77	42.77	42.59	43.25	44.9	42.75	42.55	46.99	42.99	42.91	42.6	42.52	42.96	42.33	42.48	43.46	42.23	42.17	43.91	43.45	42.92	42.72	43.8	44.02	42.32	45.96	43.05	42.29	47.57	42.91	43.16	43.2	43.59	42.54	42.89	42.13	45	42.99	42.35	42.26	43.95	42.58
lon				140.27	140.38	141.11	142.14	142.29	142.33	142.92	143.2	144.38	144.11	142.36	142.46	141.96	143.19	142.06	142.12	142.53	141.95	142.93	142.14	156.32	156.32	155.98	146.68	143.46	142.7	143.02	143.68	142.09	141.96	145.58	141.65	144.32	142.36	142.1	140.59	143.55	141.75	140.81	141.35	143.19	144.38	143.69	141.93	140.84	144.08	142.37	142.16	144.73	142.71	142.77	144.67	144.15	143.18	141.88	143.89	144.27	140.98	142.06	143.46	143.32	142.73	143.05	144.57	144	141.97	141.3	143.32	142.92	147.88	143.2	142.33	142.58	144.3	140.73
en	kana	kanji	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75
head	あたま	頭	sapa	sapa,sapa,(-ha),pake,-he,[敬？]	sapa	sapa,sapa,(-ha),pake,pake,(-he),sapake	sapa	sapa	sapa	pake	pake,pake,(-he)	pake,key(-he),pake,pa,-ke(頭)	pake,pake,maratto,marattosapa	pake,pake,(-he),(N),sapa,(-ha),(H)	pake,pake,sapa,[稀]	pake,sapa,-ha～-kehe,pake	sapa	sapa,keoro	sapa,sapaki	sapa	sapa,sapa,-ha,keykitaykehe《頭頂》,otusiska,-ha《後頭部》,ohpuy《ほんのくぼ》	sapa	sapa,(-ha),ceppa		crup[ママ.,erupの誤植か？→8](首137.蝦夷語sapa),pa(頭)		pa(頭)		sapa(頭、あたま)		sapaka			pa,-ke(頭|[始めの体])							key(-he)				maratto	key(-he),pake					marapto,pake						maratto		key(-he),pake																												
hair,[of,the,head]	かみのけ	髪の毛		etop,kimuy,uspe	etop(-i)	otop				otop(-i)	otop	otop(-i),otop(髪(かみ)、髪の毛)	otop,otop(-i)	otop,retarpe<<しらが>>	otop	otophi		sapanuma		otoh(p-i)	ruusis,-cihi,sapanuma,-ha		otop,otop(-i)		rutu(髪),tru(髪)		ru(頭髪)		ru(頭髪)	saparu(-he)	sapanuma,sapakanuma	sapatu	sapatu,sapatuhci	otop(髪毛|[生え延びて切る物]),sikankanep?(髪毛巻目|[曲がって生えている物]),ru(髪|[毛が長い])					etop(-i)			etop(-i)						etop(-i)					etop(-i)	etop(-i)							etop(-i)																	
to,comb,to,scrape,with,a,comb	とかす	梳かす		kirayekar,,nuykar		yaynuykar					nuykar,katu,karkar,《きれいにする》		nuykar,yaynuykar(自分の髪を)	nuykar,,sapa,nuykar,(H)	nuykar	nuykar					ranke《櫛けずる》,nuykara《梳く》		kirayekar,《櫛けずる》,nuykar,《梳く》,karkar《きれいにする》		yaynispa(櫛で梳かす)																																																					
dandruff	ふけ	雲脂		retattur		retattur,rusirma					pasirma		pasirma	rusirma	rusirma						keyturu,-hu~-ihi		retattur																																																							
to,be,bald	はげている	禿げている		ehure,sapahure,kapke,erusne,ekepne,[悪]《丸はげ》		epitce,etontone,kapke,(面と向かって悪く言う時),kepne,etoy,romkor					tontone,kepne,otopsak,等		pake,wen,(丸はげ),etontone,(一部)	kepne,epitce,《はげ》,yukker,kor,《はげ上がっている》	tontone,etontone,etoy,kepne《ところどころはげている》,romkor《うすはげ》,epitce[悪],ekapke[悪]	kepne,ronkor(?)					risara,sapaewen《方々はげている》,oraapisteh,ronkoro《丸はげ》,risaratonpi《小さいはげ》		etontone,etoy,sapaha,epitce,ronkone,[隠],cimesu,(つるっとはがしたように)						rom《禿》																																																	
bald,head	はげあたま	禿頭		huresapa		rom,ekantontone,sapakapke					etonto		pakewen	kepsapa,《てっぺんのはげ》	etoysapa				ronkoro	ronkoro,keyewen,ron(m-i)	risara,sapa		etoy,sapa,etonto,《はげた人》,emakatontone,etontone,etoy,etoysapa,huremawpo,wenesukorarak						rom(禿)				ronkoro,keykisara			pakekepne,pakepicitke	epitce																							pakewen																		
brain	のうみそ	脳みそ		noype,(-he)		noype,(-he)					noype,(-he)		noype	noype	noype	noype,-he			keoroh(p-i)		keyoroh,-pihi		noype,(-he)						noype(脳髄)				keoroh(p-i)			keoronoype																			noyte																							
face	かお	顔		nan		nan					nan	nan(顔、容貌),nanka(顔、容貌)	nan	nanu	nanu	nan(hu)				nowah(p-i)	nanhu,niorokewhe[悪]<<つら>>		nan						nan(顔)				nu	nanu(顔|[心を聞いて変わる])																																												
forehead	ひたい	額	noyporo	kiputur		kiputur					kiputur		keputur	kiputur,raruturuhu,《みけん》	kiputur,noyporo《まゆの外側の部分》	nanuhu					kistomho		noyporo,(-ho),kiputuru,enoyporkotanas,wenhottor(-u)		kiputur(額)				kanćatispe(額),kiptom(額、ひたい),kistom(額、ひたい)																																																	
temple	こめかみ	こめかみ									pasanpe		noyporosanpe,pasampe	noypuru	pasanpe,noyporo《まゆの外側》						nohkiriousi,-kehe				nojap(こめかみ),nosop(こめかみ)												pakesampe																																									
eyebrow	まゆ	眉		rar,rannuma,(-ha)		rar					rannuma,(-ha)	rar(眉(まゆ))	rannuma	rar	rar	rarhu				sikenkomah(p-i)	raru,-hu		rar,rannuma<<眉の毛>>		werar?(眉)				rannuma(眉毛),sikenkomah(眉)		sikihi,taruhu,tar(-u)	sikenkuma		rar(眉毛|[短毛])																																												
eye	め	眼		sik,sik	sik	sik,sik	sik	sik	sik	sik	sik,sik	sik,sik(目)	sik,sik	sik,sik	sik,sik	sik,sik,ihi	sis	sik	sik-	sis	sis,sis,-kihi	sik	sik		shiki,(138),arsik(目),sik(目)		sik(目)		nu-(目),sis(眼)					sik(眼|[誠を知ることをする])																																												
to,see,to,look,at,to,be,seen	みる	見る		nukar,nukar,,inkar,,tewa,kimor,anukar《ここから山が見える》	nukar	nukar,nukar〔他〕,inkar〔自〕	nukar	nukar	nukar	nukar	nukar,nukar〔他〕,inkar〔自〕	nukar,inukar(見る),nukar(･･･を見る)	nukar,nukar〔他〕,inkar〔自〕	nukar,nukar,,inkar	nukar,nukar,,inkar	nukar,nukar	nukara	nukara	nukara	nukara	nukara,nukara〔他〕,inkara〔自〕,annukara《見える》	nukara	nukar〔他〕,inkar〔自〕		inkari,(146)				nukar(見る)																																																	
Look,this,way.	こちらをみろ	こちらを見ろ		teun,inkar.		teun,inkar.					teen,inkar.		teyne,inkar,an.	enekota,inkar.	teyne,inkar,an.						teene,inkara.		teun,inkar.																																																							
Look!	ごらんなさい	御覧なさい		nukar,yan!,nukar,(a,a)n!		nukar,hani.					cupkamuy,sara,na,《お月さま出たよ》,inkar,(y)an!		tanpe,etak,nukar.	tanpe,nukar,(yan).	nukar,yan.	nukar,yan.					nukara!		to,to,《ほらほら》,nukar,an!																																																							
to,glare,at	にらむ	睨む		enitomom,《じっとみる》,sikkeruru,《にらみつける》,sikerayke		kosikkiruru					sikkeruru	toynukar(睨む(にらむ))	toynukaror《じっとにらみつける》	(entoy-)sikeraykar《(ぐっと)にらみつける》	entoysikeraykar	inukarerae,inkarerae					nukareraye		(toyko-)enucisiske,sikerayke																																																							
to,peek,at	のぞく	覗く		piinkar,hehewpa,(物かげから),heturir		heheypa					ehewpa		ewewpa	otanu	otanu,aoinkar,(外から中を)	heturer,wa,inkar					piinkara		hehewpa,unukare《(人を)のぞきみする》																																																							
to,peep,through,a,hole	あなからのぞく	穴から覗く		pon,suy,an,wa,kari,kupiinkar		puy,kari,awohotanukar					suy,kara,ehewpa,(kara,は日本語)	puy(穴(あな))	suy,kari,inkar	suykari,otanu	suykari,inkar	apa,oinkar					puy,kaari,piinkara		puy,o,uske,kari,inkar		opusi《穴》																																																					
to,be,blind	めしいである	盲である		siknak,,siksak		siknak,,siksak					siknak	siknak(目が見えない、盲目である)	siknak	siknak	siknak	siknak,,etattawne					esuri		siknak						sis-nah(盲目)																																																	
eyelid	まぶた	瞼		sikkap		sikkap,sikkapukay					sikkap		sikkap	sikkap	sikkap	sikkaphu				siskah(p-u)	siskah,-puhu		sikkap		sikap(まぶた),sikap(まぶた)				sis-kah(眼瞼)				siscapus(-i)				sikrapka(-si)																																									
double-fold,eyelid	ふたえまぶた	二重瞼		ukamusikkap										tukapuhu							cinayesis,-kihi		sikkapukay,[動],ふつう																																																							
single-fold,eyelid	ひとえまぶた	一重瞼																			yayansis,-kihi		sikkapturiri,[動]																																																							
eyelashes	まつげ	睫毛		sikrap		sikrap					sikrap		siknuma,sikrap,sittap(-u),sittapnuma	sikrap	sikrap	sikraphu				sistah(p-u),sisrah(p-u)	sisrah,-puhu		sikrap						sis-rah(睫毛),sis-tap-numaha(睫毛)	sistah(p-u)	siktap(-u),siktapnumaha			sikrap(睫(マツ)毛|[目の羽毛])		sittap(-u)																																										
eyeball	めだま	目玉		siknum		siknum					siknum		siknum,ruki	siknum	siknum	sittamaha			sisnun(m-i),sistama	sisnun(m-i)	sisnumhi		siknum						sis-num(眼球)																																																	
iris,of,the,eye	くろめ	黒目		kunnesiknum		kunnesiknum,kunnesiknum(-i)					kunnesiknum		sippo	kunnesiknum	kunnesiknum	kunne,sittamaha				kunnesisnun(m-i)	kurasno,sisnumhi		kunnesiknum																																																							
white,of,the,eye	しろめ	白目		retarsiknum		retarsiknum					retarsiknum		retarsiknum	retarsiknum	retarsiknum	retar,sittamaha			retarasisnun(m-i)	retarasisnun(m-i),tetarasianun(m-i)	tetara,sisnumhi		retarsiknum						tetara-sis-num(眼球結膜・しろめ)																																																	
pupil,of,the,eye	ひとみ	瞳				sikpuy,sikpuy(-e)					inkarpopo		turkes	inkarsiknum		inkarpopo《“目の玉のほとけさん”》				sispuy(-he)	sisnumnoski,-kehe		sikramat,-ci《方言：めぼとけ》						sis-puy(瞳孔)																																																	
far,ends,of,the,eyelids	めじり	目尻		sik,ohonto		sikkes					sikkes		sikonkes∼sik,onkes	sik,ohonkes	sikkes	sikiohonkeshe		sikohonkes(-i)			sikohonkeshe		sikkes,,sikokes		shik-ap(138)									sikisaw?/,sikisar?(目じり|[目尻])			siknumkes(-e)																																									
a,tear,tears	なみだ	涙		nupe,(-he),(泣いて出る),sikpe,(涙ではなく,水が出たと表現する時)		nupe,(-he),pekennupe					nupe,(-he)	nupe(涙)	nupe,(泣いて出る),sippe,(風に吹かれた時等に出る)	nupe,(悲しくて出る),sikpehe,(液体としての.,あくび等でも出る)	nupe,sikpe(差異は旭に同じ)	nupe		nupe	nupe	numpe	nuupe,-he		nupe,(-he),(泣いた時等に出る),sikpe,(眼病等で出る.,汁としての表現)		nubi,(140)				numpe(涙)			nupe		nupe(涙|[魚・水])																																												
matter,(or,mucus),in,the,eye	めやに	目脂		inte,siksi《眠くそ》		inpe,inpe					sikpe		siki,taypenu《めやにが出る》,sikyani	sik,nunpe	inpe	inte				sisye,sisyeampe	sisyee,-he,sispee,-he		inteo《めやにがたまる》,inteoyan《めやにが出る》						sis-ye(眼脂,目やに),sis-ye-an-pe(眼脂)							sikrat(c-i)	sikpe																																									
nose	はな	鼻	etuhu	etu,etu,(-hu),enkor(enkorsak《鼻のない》等で)	etu	etu,etu,(-hu),enkor(《鼻腔》の意味もある)	etu	etu	etu	ecu	etu,etu,(-hu)	etu	etu,etu	etu,etu,(-hu),(etu),enkor《鼻腔》,etu,suy《鼻孔》	etu,etu,enkor《鼻腔》,etupuy,《鼻孔》	etu,etu,-hu	etupuy	etupuy	etupuy,enkonrah(t-u)	etupuy,enkoro,etupuy(-e)	etu,etu,-hu,enkoro,-ho[老]	etupuy	etu,(-hu),enkoreitak《鼻声でしゃべる》		etu(138),etu(鼻)		etu(鼻)		enkoro(鼻),enkoritah(鼻),etu(鼻),etu-puy(鼻)				etukohure	etu(鼻|[長い根が出る])																												
nasal,matter	はな	はな		etor,《青い鼻汁》		etor					etor		enkonrat,-ci,enkonrat(c-i)	etor	etor	esum				esum(-i),etuwahka	esumhi		etor,etor(-i)						esum(鼻汁),etu-nakapuru(鼻屎),etu-pe(水様鼻汁、水ばな),etu-waśka(水様鼻汁、水ばな)				etuesina	eturawakka(鼻汁(水)|[鼻水])		enkonrat(c-i)																																										
dripping,from,the,nose	はなみず	鼻水		etupe,(-he),,etuwakka		etupe					etupe		etupe	etupe	etupe	etupekus					etuwahka,-ha		etupe						esum(鼻汁),etu-pe(水様鼻汁、水ばな),etu-waśka(水様鼻汁、水ばな)					eturawakka(鼻汁(水)|[鼻水])																																												
snot	はなくそ	鼻糞		etucima,(-ha)		etotcima,etotcima							enkonrat,-ci	etor	etor	esumsattè			esumtakpe	etunakapuru	etunakapuru,-hu		etotcima,etotcima						etu-nakapuru(鼻屎)								etusi																																									
nosebleed	はなぢ	鼻血		etupe,(-he),etuwakka		etupe					etupe		etupe	etupe	etupe	etupekus					etuwahka,-ha		etupe						etu-kem(鼻出血、はなぢ)					etukem(鼻血|[出て顕わになり体が解る?])																																												
ear	みみ	耳		kisar,kisar,asurpe,(熊の)	kisar	kisar,kisar,asurpe,[雅](人間には使わぬ)	kisar	kisar	kisar	kisar	kisar,kisar	kisar,kisar(耳)	kisar,kisar	kisar,kisar,,kisarsuy～kisassuy,《耳のあな》	kisar,kisar,,asurpe,(熊等の),,kisarsuy～kisassuy,《耳のあな》	kisar,kisar(ha)	kisara	kisaru	kisara	kisara	kisaru,kisaru,-hu,,kisaru,puyehe,《耳のあな》	kisara	kisar,kisarpuy,《耳のあな》		satapa,(138)				kisara(耳)					kisar(耳|[致す事を助ける]),rampu(耳|[廉穴?を通る])																																												
to,hear,to,listen,to,be,heard	きく	聞く		nu,,inu,,rirhum,anu,《波の音が聞こえる》		nu,inu					nu,inu	hawas(声がする、聞こえる),hawas(声がする、聞こえる),nu(･･･を聞く、･･･が聞こえる)	nu,inu	nu,,inu	nu,,inu,,ikokanu,《耳を傾ける》	nu,,inu					nuu,inuu,humihi,an《音がする》		nu,inu,kokanu(耳をすまして)																																																							
to,be,deaf	つんぼである	つんぼである		aspa		aspa					aspa	aspa(耳が聞こえない),haspa(耳の聞こえない、耳が遠い)	haspa	aspa	aspa,,inuewen,《耳が遠い》	aspa			inuah(p-an),inuahpe	inuah(p-an),inuahpe	inuah,-k,haminu,《耳が遠い》		aspa,,ruaspa,《耳が遠い》,aspa						inuah(耳聾)				haspa			haspa	aspa																																									
ear-lobe	みみたぶ	耳たぶ		kisarpusa,kisarmom		kisanrap					kisanrap		kisar,onkese	kisarsaraha,kisarparurke《耳のへり》	kisarrap〜kisanrap	kisarpecì			kisanrah(p-u)	kisaraohonkes(-i)	kisaruohonkeshe(下の部分),kisaruetokoho(耳朶全体)		kisanrap								kisantap(-u)						kisattepa																																									
mouth	くち	口		par,par	par	par,par	par	par	par	car	car,car	car,ca,car(-o-u),car(口)	car,caro,car(-o-u)	par,paroho	car,caro,(carsak《口のない》)	car,caro,-ho	cara	caru	cara	cara,cara(caru)	caru,caru,-hu	caru	par		imak,(140),charu,(158),charo,(165)		car(口)		ċa(口),ċara(口)					car(口|[我が捌くところ])							ca,car(-o-u)					ca,car(-o-u)					ca,car(-o-u),pa,par(-o)				car(-o-u)				ca																			
lips	くちびる	唇		paksar,paksar,,papus	paksar	papus,papus,,patoy	patoy	patoy	patoy	capus	capus,capus	capus,capus(-i)	capus,capus	capus,capus	papus,capus,patoy,papus,,capus,,patoy,(口の中の目に見えない部分をも含む)	capus,capuske,-he	caapus	caapus	caapus	caapus,catoy(-e)	caapus,caapushi,,caatoyhe,《下唇の内側》	caapus	patoy,,pakisar,《口角》,patcake,patoy(-e),sanca		chātoi(138),catoy(唇),chatoy《リップ》,catoykir《リップ》		capus(唇)		ċapus(口唇),ċatoy(口唇),sanca(口唇)					capus(唇|[上唇])	patoy(-e)											capus(-i)					capus(-i)								capus(-i)																			
upper,lip	うわくちびる	上唇		rikunpaksar,,kannapaksar		kannapapus				kannapapus(-i)	kannacapus	horikasiancapus(-i),horikasicapus(-i)	orikasi,capus	orikas,capus	orikasi,capus,,orikasi,patoy	rekuan,capuske				rikuncapus(-i)	riswaan,caapushi		kannapatoy,kannapatoy(-e)		tri-kun-ki,catoy(上唇)				rikun-capus(上唇)					capus(唇|[上唇])	horikasipatoy(e-)		kannapapus(-i)									horikasiancapus(-i),horikasicapus(-i)					horikasiancapus(-i),horikasicapus(-i)								horikasiancapus(-i),horikasicapus(-i)																			
